202201010305	  -29
202201010912	   22
202201011508	  -24
202201012124	   30
202201020347	  -26
202201020949	   20
202201021548	  -24
202201022207	   28
202201030426	  -23
202201031026	   20
202201031629	  -24
202201032251	   26
202201040507	  -21
202201041106	   20
202201041716	  -24
202201042340	   24
202201050552	  -19
202201051153	   20
202201051811	  -24
202201060037	   22
202201060646	  -18
202201061250	   20
202201061916	  -24
202201070143	   20
202201070749	  -16
202201071358	   21
202201072031	  -24
202201080259	   18
202201080901	  -16
202201081514	   21
202201082151	  -24
202201090418	   18
202201091018	  -16
202201091632	   23
202201092311	  -24
202201100534	   18
202201101131	  -17
202201101746	   24
202201110023	  -25
202201110643	   18
202201111238	  -18
202201111853	   25
202201120127	  -26
202201120742	   19
202201121337	  -19
202201121952	   26
202201130223	  -25
202201130834	   18
202201131428	  -19
202201132044	   25
202201140312	  -23
202201140919	   17
202201141514	  -19
202201142130	   23
202201150354	  -21
202201150958	   16
202201151554	  -18
202201152211	   21
202201160431	  -18
202201161032	   14
202201161630	  -17
202201162247	   19
202201170503	  -15
202201171101	   13
202201171702	  -15
202201172318	   16
202201180529	  -13
202201181127	   12
202201181731	  -14
202201182347	   14
202201190553	  -12
202201191150	   12
202201191800	  -14
202201200014	   13
202201200617	  -11
202201201218	   13
202201201833	  -14
202201210047	   13
202201210648	  -11
202201211253	   14
202201211914	  -15
202201220130	   13
202201220730	  -12
202201221341	   16
202201222007	  -17
202201230223	   14
202201230823	  -14
202201231438	   18
202201232107	  -19
202201240324	   16
202201240924	  -16
202201241541	   22
202201242212	  -22
202201250428	   18
202201251028	  -18
202201251645	   25
202201252316	  -25
202201260531	   20
202201261130	  -21
202201261748	   28
202201270018	  -28
202201270630	   21
202201271228	  -23
202201271847	   30
202201280115	  -29
202201280724	   22
202201281323	  -25
202201281942	   31
202201290208	  -29
202201290814	   22
202201291412	  -26
202201292032	   31
202201300256	  -27
202201300858	   21
202201301458	  -25
202201302119	   29
202201310338	  -24
202201310936	   20
202201311539	  -25
202201312202	   27
202202010416	  -21
202202011012	   19
202202011620	  -24
202202012243	   24
202202020452	  -18
202202021048	   19
202202021703	  -24
202202022326	   21
202202030529	  -17
202202031130	   20
202202031752	  -23
202202040015	   18
202202040615	  -15
202202041222	   20
202202041852	  -21
202202050114	   16
202202050711	  -14
202202051326	   19
202202052004	  -20
202202060225	   13
202202060821	  -13
202202061443	   19
202202062126	  -19
202202070346	   12
202202070941	  -13
202202071606	   20
202202072250	  -19
202202080506	   13
202202081100	  -15
202202081725	   22
202202090004	  -21
202202090616	   14
202202091211	  -17
202202091833	   24
202202100106	  -22
202202100714	   16
202202101310	  -19
202202101932	   25
202202110159	  -22
202202110804	   17
202202111402	  -20
202202112022	   25
202202120246	  -22
202202120848	   18
202202121448	  -21
202202122107	   24
202202130326	  -21
202202130927	   17
202202131529	  -20
202202132147	   22
202202140403	  -19
202202141002	   17
202202141605	  -19
202202142222	   20
202202150434	  -17
202202151033	   15
202202151637	  -17
202202152253	   17
202202160501	  -14
202202161058	   14
202202161705	  -16
202202162319	   15
202202170521	  -12
202202171118	   13
202202171728	  -14
202202172341	   13
202202180539	  -11
202202181138	   13
202202181754	  -14
202202190005	   12
202202190602	  -11
202202191208	   14
202202191830	  -15
202202200042	   12
202202200639	  -12
202202201253	   16
202202201922	  -16
202202210134	   12
202202210732	  -13
202202211353	   18
202202212027	  -17
202202220239	   13
202202220839	  -15
202202221504	   20
202202222139	  -19
202202230351	   14
202202230951	  -17
202202231618	   23
202202232252	  -22
202202240502	   16
202202241103	  -20
202202241729	   27
202202250000	  -24
202202250608	   19
202202251209	  -23
202202251834	   29
202202260102	  -26
202202260707	   20
202202261309	  -25
202202261934	   30
202202270158	  -25
202202270800	   21
202202271403	  -26
202202272028	   30
202202280248	  -24
202202280846	   20
202202281452	  -26
202202282117	   27
202203010332	  -21
202203010926	   19
202203011535	  -25
202203012200	   24
202203020408	  -17
202203021001	   18
202203021615	  -23
202203022238	   20
202203030439	  -15
202203031034	   18
202203031655	  -21
202203032315	   16
202203040509	  -13
202203041112	   18
202203041739	  -19
202203042355	   13
202203050546	  -12
202203051159	   17
202203051833	  -17
202203060046	   11
202203060636	  -12
202203061300	   17
202203061941	  -15
202203070151	    9
202203070743	  -11
202203071417	   16
202203072103	  -14
202203080311	    8
202203080905	  -12
202203081542	   17
202203082226	  -14
202203090431	    9
202203091027	  -13
202203091701	   19
202203092338	  -16
202203100540	   12
202203101138	  -16
202203101807	   21
202203110036	  -18
202203110637	   14
202203111238	  -19
202203111903	   23
202203120126	  -19
202203120726	   16
202203121328	  -21
